,area,com_client,comment,goods_name,score,times,user_grade,user_id
50,天津,来自京东Android客户端,一直在京东商城购买放心便捷正品！,西拉-红,grade-star g-star5,2016-08-25 19:18,钻石会员,模***待
51,四川,来自京东Android客户端,又快又好,加本力苏维翁,grade-star g-star5,2016-09-01 15:35,金牌会员,m***y
52,北京,来自京东iPhone客户端,好喝 一直再喝这个牌子,加本力苏维翁,grade-star g-star5,2016-06-29 18:48,钻石会员,j***9
53,,来自京东Android客户端,京东购物，物流就是快！挺满意的一次购物，给个赞！！,梅洛-红,grade-star g-star5,2016-06-13 09:16,钻石会员,d***9
54,北京,来自京东Android客户端,棒棒哒,西拉-红,grade-star g-star5,2016-08-05 00:41,金牌会员,x***-
55,北京,来自京东iPhone客户端,一直喝,梅洛-红,grade-star g-star5,2016-09-01 21:42,钻石会员,g***7
56,广东,,可以可以可以可以可以可以,加本力苏维翁,grade-star g-star5,2016-07-11 10:31,金牌会员,w***a
57,广东,,可以可以可以可以可以可以,梅洛-红,grade-star g-star4,2016-06-30 16:50,金牌会员,w***a
58,广东,,可以可以可以可以可以可以,加本力苏维翁,grade-star g-star4,2016-06-07 10:19,金牌会员,w***a
59,辽宁,来自微信购物,口感不错 一直很喜欢,霞多丽白,grade-star g-star5,2016-06-28 13:09,银牌会员,j***a
60,辽宁,来自微信购物,口感不错 一直很喜欢,加本力苏维翁,grade-star g-star5,2016-06-28 13:09,银牌会员,j***a
61,北京,来自京东iPhone客户端,味道不错，挺值,加本力梅洛-红,grade-star g-star5,2016-06-18 17:56,银牌会员,j***4
62,北京,,喝不太习惯，可能是不经常喝的缘故吧,加本力苏维翁,grade-star g-star5,2016-08-06 16:43,银牌会员,小***砸
63,辽宁,来自微信购物,口感不错 一直很喜欢,加本力梅洛-红,grade-star g-star5,2016-06-28 13:09,银牌会员,j***a
64,辽宁,来自微信购物,口感不错 一直很喜欢,西拉-红,grade-star g-star5,2016-06-28 13:09,银牌会员,j***a
65,辽宁,来自微信购物,口感不错 一直很喜欢,梅洛-红,grade-star g-star5,2016-06-28 13:09,银牌会员,j***a
66,广东,来自京东Android客户端,进口大品牌！会员专亨价47元购买！超值实惠！,梅洛-红,grade-star g-star5,2016-09-04 13:29,钻石会员,小***红
67,山西,来自京东Android客户端,不错，值得购买，不错值得购买。,加本力梅洛-红,grade-star g-star5,2016-08-09 09:33,钻石会员,5***j
68,河北,来自京东Android客户端,包装很好，还没喝，希望味道不错吧,西拉-红,grade-star g-star5,2016-09-04 16:26,金牌会员,d***x
69,上海,,经济实惠，比同价位的国产红酒好喝多了。,加本力梅洛-红,grade-star g-star5,2016-06-24 12:14,钻石会员,冰***影
70,上海,,一直买它的红酒，这次喝喝看白葡萄酒怎么样！,霞多丽白,grade-star g-star5,2016-06-30 10:53,钻石会员,冰***影
71,北京,来自京东iPhone客户端,还行吧,加本力梅洛-红,grade-star g-star5,2016-08-30 10:03,银牌会员,j***5
72,上海,来自京东Android客户端,味道一般,西拉-红,grade-star g-star5,2016-08-12 10:12,银牌会员,飞***1
73,山东,来自京东Android客户端,物流也太快了吧，中午下单，下午到，包装保护的也很到位,梅洛-红,grade-star g-star5,2016-09-05 11:40,金牌会员,布***爹
74,广东,,买来平时随便喝喝的，性价比不错的一款餐酒。,加本力苏维翁,grade-star g-star5,2016-06-17 01:35,钻石会员,你***啊
75,广东,来自京东iPhone客户端,第二瓶了 口感很好,桑格利亚,grade-star g-star5,2016-09-04 09:18,铜牌会员,谢***人
76,广东,,半干红比较好入口，作为餐酒来说，性价比还可以。,加本力苏维翁,grade-star g-star5,2016-06-18 23:14,金牌会员,你***啊
77,重庆,来自京东Android客户端,很好，送货很快，包装不错，口感不错,加本力苏维翁,grade-star g-star5,2016-08-31 15:31,金牌会员,6***m
78,重庆,来自京东Android客户端,很好，送货很快，包装不错，口感不错,加本力梅洛-红,grade-star g-star5,2016-08-31 15:31,金牌会员,6***m
79,福建,来自京东Android客户端,好喝，实惠！,西拉-红,grade-star g-star5,2016-08-30 17:00,金牌会员,s***1
80,福建,来自京东Android客户端,好喝，实惠！,霞多丽白,grade-star g-star5,2016-08-30 17:00,金牌会员,s***1
81,,来自微信购物,满意～一直在喝这个牌子,西拉-红,grade-star g-star5,2016-09-04 13:24,金牌会员,阿***0
82,,来自微信购物,满意～一直喝这个牌子的～,加本力梅洛-红,grade-star g-star5,2016-09-04 13:24,金牌会员,阿***0
83,上海,来自京东Android客户端,这个牌子的白葡萄酒第一次买，先试试?,霞多丽白,grade-star g-star5,2016-09-04 15:00,金牌会员,j***6
84,上海,来自京东Android客户端,不错，比外面买的便宜，口感不错,西拉-红,grade-star g-star5,2016-09-04 15:00,金牌会员,j***6
85,上海,来自京东Android客户端,这个牌子的葡萄酒口感还不错，自己喝很实惠，性价比高,梅洛-红,grade-star g-star5,2016-09-04 15:00,金牌会员,j***6
86,湖南,来自京东Android客户端,一直喝！,幕斯卡白,grade-star g-star5,2016-09-03 17:13,银牌会员,j***4
87,北京,,口味不错，可以继续购买。,梅洛-红,grade-star g-star5,2016-08-20 10:10,金牌会员,x***l
88,北京,,口味不错，可以继续购买。,西拉-红,grade-star g-star5,2016-08-20 10:10,金牌会员,x***l
89,,来自京东iPhone客户端,好好好好好好好好好好好好好好好好,西拉-红,grade-star g-star5,2016-08-01 18:01,银牌会员,海***c
90,江苏,来自京东iPhone客户端,这个系列的酒性价比都很高,加本力梅洛-红,grade-star g-star5,2016-08-31 17:50,钻石会员,达***肥
91,江苏,来自京东iPhone客户端,不错,幕斯卡桃红,grade-star g-star5,2016-08-23 22:59,银牌会员,j***8
92,河北,来自京东iPhone客户端,经常喝性价比比较高,霞多丽白,grade-star g-star5,2016-09-04 09:57,钻石会员,c***7
93,江苏,来自京东Android客户端,公司用酒，还可以的，不错,西拉-红,grade-star g-star5,2016-08-23 18:47,钻石会员,c***6
94,,来自京东iPhone客户端,包装很给力，唯独就是灌装日期是2016年的，希望口感还是一样吧,加本力苏维翁,grade-star g-star5,2016-09-03 09:13,银牌会员,1***p
95,,来自京东Android客户端,很好,霞多丽白,grade-star g-star5,2016-09-04 03:04,铜牌会员,j***9
96,,来自京东iPhone客户端,Hhhhhhhhhhhhhhhhhhh,西拉-红,grade-star g-star5,2016-06-14 03:05,钻石会员,小***1
97,,来自京东iPhone客户端,Hhhhhhhhhhhhhhh,幕斯卡白,grade-star g-star5,2016-06-14 03:05,钻石会员,小***1
98,,来自京东iPhone客户端,Hhhhhhhhhhhhhhhhh,加本力苏维翁,grade-star g-star5,2016-06-14 03:05,钻石会员,小***1
99,北京,,价格实惠，口味也不错,加本力苏维翁,grade-star g-star5,2016-09-03 04:30,钻石会员,s***k
100,上海,来自京东Android客户端,都几好,梅洛-红,grade-star g-star5,2016-09-02 20:34,企业会员,v***h
101,广东,来自微信购物,还行！！！！！！！！,梅洛-红,grade-star g-star4,2016-08-30 13:52,银牌会员,j***j
102,广东,来自京东iPhone客户端,还是甜的好喝，还是红比白好！,霞多丽白,grade-star g-star4,2016-08-31 20:29,银牌会员,芏***星
103,四川,来自京东Android客户端,比我买的任何酒都要好喝,幕斯卡白,grade-star g-star5,2016-08-10 00:02,银牌会员,j***9
104,四川,来自京东Android客户端,味道不错，比纯的干红好喝,加本力梅洛-红,grade-star g-star5,2016-08-10 00:02,银牌会员,j***9
105,广东,来自京东Android客户端,继续支持 京东要努力做更好,梅洛-红,grade-star g-star5,2016-09-03 13:01,金牌会员,v***7
106,四川,来自京东iPad客户端,好评好评好评好评好评,加本力苏维翁,grade-star g-star5,2016-09-03 11:26,钻石会员,JDCOMUSER
107,北京,来自京东iPhone客户端,真心便宜，好邻居卖98……,幕斯卡桃红,grade-star g-star5,2016-09-05 10:43,金牌会员,y***1
108,四川,来自京东iPad客户端,好评好评好评好评好评,加本力梅洛-红,grade-star g-star5,2016-09-03 11:26,钻石会员,JDCOMUSER
109,,来自京东Android客户端,性价比高，口感还可以,加本力苏维翁,grade-star g-star5,2016-09-04 12:15,钻石会员,r***8
110,广东,来自京东Android客户端,挺好喝，味道男女皆宜！,幕斯卡白,grade-star g-star5,2016-06-23 22:18,金牌会员,l***7
111,广东,来自京东Android客户端,挺好喝，味道男女皆宜！,西拉-红,grade-star g-star5,2016-06-23 22:18,金牌会员,l***7
112,,来自京东Android客户端,之前喝过其它牌子的气泡酒，希望这个还可以,桃红起泡,grade-star g-star4,2016-09-04 12:15,钻石会员,r***8
113,广东,来自京东Android客户端,挺好喝，味道男女皆宜！,加本力苏维翁,grade-star g-star5,2016-06-23 22:18,金牌会员,l***7
114,广东,来自京东Android客户端,挺好喝，味道男女皆宜！,梅洛-红,grade-star g-star5,2016-06-23 22:18,金牌会员,l***7
115,广东,来自京东Android客户端,挺好喝，味道男女皆宜！,幕斯卡桃红,grade-star g-star5,2016-06-23 22:18,金牌会员,l***7
116,广东,来自京东Android客户端,挺好喝，味道男女皆宜！,加本力梅洛-红,grade-star g-star5,2016-06-23 22:18,金牌会员,l***7
117,广东,来自京东iPhone客户端,收到了，一直喝这款，挺好的,梅洛-红,grade-star g-star5,2016-09-01 12:34,银牌会员,Bendy宏
118,,来自京东iPhone客户端,好好好好好好好好好好好好好好好好好好,西拉-红,grade-star g-star5,2016-09-02 00:59,钻石会员,a***8
119,北京,来自京东Android客户端,还好，和国产同等价位的差不多。,西拉-红,grade-star g-star5,2016-08-31 12:01,钻石会员,j***3
120,天津,来自京东Android客户端,非常好，下次还会再买的！五星好评啊。,霞多丽白,grade-star g-star5,2016-08-19 09:04,钻石会员,军***爵
121,,来自京东Android客户端,喜欢喝这款起泡葡萄酒，泡沫丰富。,起泡葡萄酒,grade-star g-star5,2016-09-01 18:57,银牌会员,j***x
122,广东,来自京东Android客户端,不错哦，，，,梅洛-红,grade-star g-star5,2016-08-19 18:15,金牌会员,j***j
123,广东,来自京东Android客户端,不错哦，，，，,加本力苏维翁,grade-star g-star5,2016-08-19 18:15,金牌会员,j***j
124,广东,来自京东Android客户端,不错哦，，，，,西拉-红,grade-star g-star5,2016-08-19 18:15,金牌会员,jd_183198fbj
125,广东,来自京东Android客户端,不错哦，，，，，,幕斯卡白,grade-star g-star5,2016-08-19 18:15,金牌会员,j***j
126,广东,来自京东Android客户端,不错哦。。。。,幕斯卡桃红,grade-star g-star5,2016-08-19 18:15,金牌会员,j***j
127,广东,来自京东Android客户端,不错哦你喝牛奶,加本力梅洛-红,grade-star g-star5,2016-08-19 18:15,金牌会员,j***j
128,广东,来自京东Android客户端,不错哦你喝牛奶了,起泡葡萄酒,grade-star g-star5,2016-08-19 18:15,金牌会员,j***j
129,北京,来自京东iPhone客户端,不错，方便快捷，喜欢京东物流,西拉-红,grade-star g-star5,2016-09-03 22:56,钻石会员,c***i
130,北京,来自京东iPhone客户端,不错，方便快捷，喜欢京东物流,霞多丽白,grade-star g-star5,2016-09-03 22:56,钻石会员,c***i
131,北京,来自京东iPhone客户端,不错，方便快捷，喜欢京东物流,加本力梅洛-红,grade-star g-star5,2016-09-03 22:56,钻石会员,c***i
132,广东,来自京东Android客户端,准备中秋回去跟老妈和奶奶喝的！味道怎样还不知道！但是包装十分好，用气泡垫包装，一点都没有损坏！物流也给力！,西拉-红,grade-star g-star5,2016-09-04 19:00,银牌会员,我***妹
133,福建,来自京东Android客户端,好。。。。。。。。。。。。,幕斯卡桃红,grade-star g-star5,2016-09-04 08:10,银牌会员,我***4
134,广东,来自京东iPhone客户端,不是木塞，铁盖。闻起来有果香，略涩,西拉-红,grade-star g-star5,2016-08-31 22:56,金牌会员,j***2
135,黑龙江,来自京东iPhone客户端,不错,西拉-红,grade-star g-star5,2016-09-03 15:29,银牌会员,y***2
136,北京,来自京东Android客户端,挺爽的，女同志可以多来点,幕斯卡桃红,grade-star g-star5,2016-09-05 01:29,钻石会员,n***1
137,,来自京东iPhone客户端,包装好，送货快,西拉-红,grade-star g-star5,2016-09-05 10:30,铜牌会员,jd_葡萄小妞
138,,来自京东iPhone客户端,没喝，包装好，送货快,幕斯卡桃红,grade-star g-star5,2016-09-05 10:30,铜牌会员,jd_葡萄小妞
139,广东,来自京东Android客户端,不错不错，送货快，价格优惠，应该是正品！,西拉-红,grade-star g-star5,2016-09-04 18:32,钻石会员,北***度
140,北京,来自京东Android客户端,快递小哥服务非常棒,西拉-红,grade-star g-star5,2016-09-02 18:46,钻石会员,xp豪哥
141,四川,来自京东iPhone客户端,此酒口感非好，性价比高。一定要冷藏，包装的也很好。,幕斯卡白,grade-star g-star5,2016-08-04 22:10,铜牌会员,小***1
142,北京,来自京东Android客户端,酒不错 包装也好,加本力苏维翁,grade-star g-star5,2016-09-03 01:30,金牌会员,諵***爺
143,吉林,来自京东iPhone客户端,很好的酒！性价比极高！,梅洛-红,grade-star g-star5,2016-09-04 23:03,银牌会员,z***8
144,北京,来自京东iPhone客户端,????????????,加本力梅洛-红,grade-star g-star5,2016-09-04 23:25,钻石会员,x***o
145,,,挺好的,西拉-红,grade-star g-star5,2016-09-03 12:16,银牌会员,j***a
146,北京,来自京东iPhone客户端,味道不错,西拉-红,grade-star g-star5,2016-09-04 20:31,金牌会员,L***Q
147,,来自京东iPhone客户端,服务好,加本力苏维翁,grade-star g-star5,2016-09-02 19:26,银牌会员,j***w
148,,来自京东iPhone客户端,服务态度好,梅洛-红,grade-star g-star5,2016-09-02 18:30,银牌会员,j***w
149,,来自京东Android客户端,行行行行行,梅洛-红,grade-star g-star5,2016-08-17 11:55,银牌会员,j***i
150,上海,来自京东Android客户端,很好很好很好很好很好很好很好很好很好,梅洛-红,grade-star g-star5,2016-08-26 16:52,银牌会员,g***a
151,上海,来自京东Android客户端,很好很好很好很好很好很好很好很好很好,加本力苏维翁,grade-star g-star5,2016-08-26 16:52,银牌会员,g***a
152,,来自京东Android客户端,讲道理，很一般，没有网上说的那么好，中规中矩，毕竟不贵，适合大口喝,西拉-红,grade-star g-star5,2016-08-31 10:18,金牌会员,子***n
153,辽宁,来自京东iPhone客户端,还好,西拉-红,grade-star g-star5,2016-08-30 23:01,金牌会员,j***q
154,,来自京东Android客户端,好喝，，，，，，，，,西拉-红,grade-star g-star5,2016-08-10 16:41,钻石会员,t***户
155,,来自京东Android客户端,多次购买了，口感好，性价比高，包装也不错,梅洛-红,grade-star g-star5,2016-08-10 16:41,钻石会员,t***户
156,陕西,来自京东iPhone客户端,不错,梅洛-红,grade-star g-star5,2016-08-31 11:33,金牌会员,f***2
157,陕西,来自京东iPhone客户端,特别的好,加本力苏维翁,grade-star g-star5,2016-08-31 11:33,金牌会员,f***2
158,,来自京东iPhone客户端,好喝极啦,西拉-红,grade-star g-star5,2016-09-01 12:53,铜牌会员,j***h
159,福建,来自京东iPhone客户端,不错，很好的一款餐酒。,西拉-红,grade-star g-star5,2016-07-24 17:49,银牌会员,1***1
160,北京,来自京东Android客户端,京东快递是真快啊，东西很好，包装，还有防伪，目前还没品尝,西拉-红,grade-star g-star5,2016-09-04 20:29,金牌会员,j***_
161,上海,,酒不错，应该是正品,西拉-红,grade-star g-star5,2016-08-29 13:17,银牌会员,勇***7
162,,,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,加本力梅洛-红,grade-star g-star5,2016-08-28 00:54,钻石会员,中雅包装
163,北京,,【京东超市】澳大利亚进口红酒 黄尾袋鼠（Yellow Tail）西拉红葡萄酒 750ml,西拉-红,grade-star g-star5,2016-09-02 11:16,钻石会员,n***4
164,北京,来自京东iPhone客户端,价格优惠，口感也不错,加本力苏维翁,grade-star g-star5,2016-08-20 08:32,钻石会员,R***8
165,北京,来自京东iPhone客户端,口感不错，这个价位里袋鼠最好,加本力梅洛-红,grade-star g-star5,2016-08-20 08:32,钻石会员,R***8
166,广东,来自京东Android客户端,现在喝红酒基本就是上京东买这个牌子，自营品质有保证。,西拉-红,grade-star g-star5,2016-06-30 01:35,金牌会员,周***9
167,广东,来自京东Android客户端,京东自营的黄尾袋，品质保证，値得信赖！,加本力苏维翁,grade-star g-star5,2016-07-28 13:18,金牌会员,周***9
168,广东,来自京东Android客户端,这个牌子的红酒口感很好，京东比超市便宜很多，也是正品。,梅洛-红,grade-star g-star5,2016-08-12 22:39,金牌会员,周***9
169,广东,来自京东Android客户端,京东自营的黄尾袋红酒物美价廉，品质有保证。已是长期购买！,西拉-红,grade-star g-star5,2016-08-12 22:39,金牌会员,周***9
170,贵州,来自京东Android客户端,这个价位红酒里性价比最好的，没有之一。,加本力梅洛-红,grade-star g-star5,2016-08-29 09:27,钻石会员,l***0
171,北京,,常喝不错。,梅洛-红,grade-star g-star5,2016-06-07 23:33,钻石会员,金***商
172,北京,,大品牌。质量好。信得过。,西拉-红,grade-star g-star5,2016-09-02 22:53,企业会员,坦***首
173,北京,,大品牌。质量好。信得过。,梅洛-红,grade-star g-star5,2016-09-02 22:53,企业会员,坦***首
174,北京,,大品牌。质量好。信得过。,幕斯卡白,grade-star g-star5,2016-09-02 22:53,企业会员,坦***首
175,北京,,大品牌。质量好。信得过。,加本力苏维翁,grade-star g-star5,2016-09-02 22:53,企业会员,坦***首
176,北京,,大品牌。质量好。信得过。,幕斯卡桃红,grade-star g-star5,2016-09-02 22:53,企业会员,坦***首
177,北京,,大品牌。质量好。信得过。,加本力梅洛-红,grade-star g-star5,2016-09-02 22:53,企业会员,坦***首
178,广东,来自京东Android客户端,还没试听同事不错先好评吧,梅洛-红,grade-star g-star5,2016-09-01 00:08,钻石会员,j***n
179,上海,来自京东iPhone客户端,经济实用，非常棒！下次还会关注新品,西拉-红,grade-star g-star5,2016-06-12 17:20,钻石会员,d***u
180,湖北,来自京东iPhone客户端,我要做好自己的生活方式。,梅洛-红,grade-star g-star5,2016-09-04 21:41,金牌会员,j***刀
181,湖北,来自京东iPhone客户端,我想要的就是我最想要的东西,加本力苏维翁,grade-star g-star5,2016-09-04 21:41,金牌会员,j***刀
182,湖北,来自京东iPhone客户端,我想要的是你自己想要做的。,西拉-红,grade-star g-star5,2016-09-04 21:41,金牌会员,j***刀
183,湖北,来自京东iPhone客户端,好好,幕斯卡白,grade-star g-star5,2016-09-04 21:41,金牌会员,j***刀
184,湖北,来自京东iPhone客户端,好好,幕斯卡桃红,grade-star g-star5,2016-09-04 21:41,金牌会员,j***刀
185,湖北,来自京东iPhone客户端,好好,加本力梅洛-红,grade-star g-star5,2016-09-04 21:41,金牌会员,j***刀
186,广西,来自京东iPhone客户端,一般，不知怎么品酒，其他款还不错,西拉-红,grade-star g-star5,2016-08-26 10:20,银牌会员,a***g
187,广西,来自京东iPhone客户端,喜欢，女生专属美酒，很开胃,幕斯卡桃红,grade-star g-star5,2016-08-26 10:20,银牌会员,a***g
188,湖南,来自京东Android客户端,送人了，听说像果汁。。。,幕斯卡桃红,grade-star g-star5,2016-07-15 22:31,银牌会员,夷***茗
189,,来自京东iPhone客户端,包装很好,加本力苏维翁,grade-star g-star5,2016-09-04 20:09,铜牌会员,S***3
190,,来自京东iPhone客户端,不错,西拉-红,grade-star g-star5,2016-09-04 20:09,铜牌会员,S***3
191,,,1111111111111111111111,梅洛-红,grade-star g-star5,2016-09-02 15:00,铜牌会员,j***w
192,广东,来自京东Android客户端,不错，稍微有点偏酸，再醇厚一些就完美了,霞多丽白,grade-star g-star5,2016-09-02 14:32,钻石会员,w***n
193,广东,来自京东Android客户端,不错，口感轻，清新，果香比较淡。配蒸鱼合适,幕斯卡白,grade-star g-star5,2016-09-02 14:32,钻石会员,w***n
194,辽宁,来自京东Android客户端,真的好喝,西拉-红,grade-star g-star5,2016-06-16 08:02,银牌会员,k***5
195,辽宁,来自京东Android客户端,真的好喝,西拉-红,grade-star g-star5,2016-07-02 07:36,银牌会员,k***5
196,广东,来自京东iPhone客户端,很好,幕斯卡白,grade-star g-star5,2016-09-03 08:52,金牌会员,j***1
197,四川,来自京东iPhone客户端,还行吧，味道算是中规中矩。派送速度还是挺快的。快递员的态度也不错。,幕斯卡白,grade-star g-star5,2016-08-25 16:54,金牌会员,z***8
198,,来自京东iPhone客户端,收到，很好,梅洛-红,grade-star g-star5,2016-09-02 13:57,金牌会员,j***d
199,北京,,~~~~~~~~~~~~~~~~~~~~~~~~,梅洛-红,grade-star g-star4,2016-08-22 20:55,银牌会员,S***g
200,河南,来自京东Android客户端,买过很多次了，味道好价格合理,加本力苏维翁,grade-star g-star5,2016-08-18 22:34,金牌会员,i***6
201,河南,,上午顶的下午就送到了，太快了！,西拉-红,grade-star g-star5,2016-09-04 08:50,金牌会员,U***桃
202,辽宁,来自京东iPhone客户端,京东东西不错哦 服务也好,幕斯卡白,grade-star g-star5,2016-07-26 16:00,金牌会员,j***6
