Customer_ID,Gender,Age,L_O_S,Tariff,Handset
K103270,0,66,47.666667,CAT 100,S50
K103280,1,27,30.866667,CAT 100,S50
K103290,1,42,54.866667,CAT 100,S50
K103300,0,56,46.633333,CAT 100,S50
K103310,0,29,33.166667,CAT 100,S50
K103330,0,27,21.366667,CAT 100,S50
K103350,0,29,29.1,CAT 100,ASAD170
K103370,1,34,46.566667,CAT 100,S50
K103380,1,59,36.833333,CAT 100,ASAD90
K103390,1,42,50.733333,CAT 100,S50
K103400,0,52,23.7,CAT 100,S80
K103410,0,46,21.533333,CAT 100,S80
K103420,0,35,20.666667,CAT 100,S80
K103430,1,28,55.633333,CAT 100,ASAD170
K103440,0,26,22.533333,CAT 100,S80
K103460,1,40,25.5,CAT 100,S50
K103470,1,39,34.8,CAT 100,ASAD170
K103480,1,29,22.7,CAT 100,S50
K103500,1,41,11.833333,CAT 100,S80
K103510,1,30,25.633333,CAT 100,ASAD170
K103520,1,27,20.433333,CAT 100,ASAD170
K103540,0,40,42.866667,CAT 100,S50
K103550,0,26,22.4,CAT 100,S50
K103560,1,28,46.633333,CAT 100,ASAD90
K103570,1,69,16.933333,CAT 100,ASAD170
K103580,1,56,31.366667,CAT 100,S80
K103590,1,30,30.3,CAT 100,S50
K103610,1,32,38.333333,CAT 100,S80
K103630,1,52,47.4,CAT 100,ASAD90
K103640,1,26,36.433333,CAT 100,S50
K103650,0,52,29.366667,CAT 100,S80
K103660,1,27,49.4,CAT 100,ASAD170
K103680,0,29,16.066667,CAT 100,S80
K103710,0,32,31.066667,CAT 100,ASAD170
K103720,0,33,50.433333,CAT 100,ASAD90
K103730,1,61,48.6,CAT 100,ASAD170
K103740,1,27,51.466667,CAT 100,ASAD90
K103760,0,55,27.7,CAT 100,ASAD170
K103770,0,32,32.266667,CAT 100,S50
K103780,0,33,21.833333,CAT 100,S50
K103790,1,42,53.566667,CAT 100,ASAD170
K103800,0,43,33.033333,CAT 100,S50
K103830,0,54,10.9,CAT 100,ASAD170
K103840,0,39,48.4,CAT 100,ASAD170
K103850,1,39,36.166667,CAT 100,S80
K103860,1,40,21.966667,CAT 100,S50
K103890,0,27,54.3,CAT 100,S80
K103900,1,41,56.8,CAT 100,S80
K103910,0,28,29.2,CAT 100,ASAD170
K103920,1,31,48.5,CAT 100,S50
K103930,1,57,33.7,CAT 100,S50
K103940,0,42,55.066667,CAT 100,ASAD170
K103950,0,31,56.7,CAT 100,ASAD90
K103960,0,70,15.8,CAT 100,S80
K103970,0,48,50.566667,CAT 100,S80
K103980,1,79,45.1,CAT 100,S80
K103990,1,42,42.133333,CAT 100,S80
K104000,0,33,40.5,CAT 100,S50
K104010,0,26,25.266667,CAT 100,ASAD170
K104020,0,28,51.8,CAT 100,S80
K104030,1,32,27.3,CAT 100,S50
K104040,0,40,26.7,CAT 100,S50
K104050,0,28,19.533333,CAT 100,S50
K104080,0,29,15.266667,CAT 100,S80
K104100,0,26,32.5,CAT 100,ASAD170
K104110,0,45,33.566667,CAT 100,ASAD170
K104120,1,48,51.966667,CAT 100,S80
K104130,0,50,27.266667,CAT 100,S50
K104140,1,28,15.233333,CAT 100,S80
K104150,1,46,13.2,CAT 100,ASAD170
K104160,1,31,11.833333,CAT 100,ASAD170
K104170,0,34,10.066667,CAT 100,S80
K104180,1,32,31.133333,CAT 100,S80
K104190,0,50,15.133333,CAT 100,S80
K104200,1,35,42.733333,CAT 100,S80
K104210,0,38,33.233333,CAT 100,S50
K104220,0,38,24,CAT 100,S80
K104230,0,37,28.6,CAT 100,S50
K104240,0,27,45.9,CAT 100,ASAD170
K104260,0,37,37.8,CAT 100,S80
K104270,1,47,57.866667,CAT 100,S50
K104280,0,51,53.133333,CAT 100,ASAD170
K104300,0,27,10.3,CAT 100,S50
K104310,1,48,36.366667,CAT 100,S80
K104320,1,26,48.466667,CAT 100,ASAD170
K104330,1,36,50.4,CAT 100,ASAD170
K104350,0,31,42.566667,CAT 100,ASAD90
K104360,1,35,51.833333,CAT 100,ASAD170
K104370,1,66,30.433333,CAT 100,S80
K104380,0,32,14.633333,CAT 100,S80
K104390,0,30,14.266667,CAT 100,ASAD170
K104410,1,37,10.966667,CAT 100,S50
K104420,0,44,22.266667,CAT 100,S80
K104430,1,31,12.733333,CAT 100,ASAD170
K104440,0,38,40.733333,CAT 100,S80
K104450,1,72,45.566667,CAT 100,S50
K104460,0,27,48.266667,CAT 100,ASAD170
K104470,0,36,29,CAT 100,S80
K104490,1,53,17.4,CAT 100,S80
K104510,1,38,47.766667,CAT 100,ASAD170
K104520,1,28,30.5,CAT 100,ASAD90
K104540,1,56,24.466667,CAT 100,S50
K104560,0,52,56.033333,CAT 100,S50
K104580,1,52,31.866667,CAT 100,S50
K104590,1,51,21.7,CAT 100,S80
K104600,1,67,29.8,CAT 100,S50
K104610,1,38,51.566667,CAT 100,S80
K104630,0,45,13.766667,CAT 100,ASAD170
K104650,1,45,19.866667,CAT 100,S50
K104660,0,31,40.666667,CAT 100,S80
K104670,1,46,38.233333,CAT 100,S50
K104690,0,48,47.866667,CAT 100,S50
K104700,0,27,44.5,CAT 100,S50
K104720,1,39,24.9,CAT 100,S80
K104730,0,27,33.966667,CAT 100,ASAD170
K104740,1,30,48.733333,CAT 100,S80
K104760,1,29,42.9,CAT 100,ASAD170
K104780,0,52,36.366667,CAT 100,S50
K104800,0,34,49.6,CAT 100,S80
K104810,1,53,13.433333,CAT 100,S80
K104820,0,28,28.933333,CAT 100,S50
K104830,1,63,19.5,CAT 100,S80
K104840,1,39,12.5,CAT 100,S80
K104850,0,34,27.666667,CAT 100,S50
K104860,0,45,31.333333,CAT 100,S50
K104870,1,47,23.066667,CAT 100,ASAD170
K104890,1,28,10.833333,CAT 100,ASAD170
K104900,1,46,32.5,CAT 100,S50
K104910,1,33,9.933333,CAT 100,S80
K104920,0,38,42.1,CAT 100,ASAD170
K104930,0,40,35.866667,CAT 100,ASAD170
K104940,1,31,43.166667,CAT 100,S50
K104950,0,27,28.266667,CAT 100,ASAD170
K104960,1,30,34.966667,CAT 100,S80
K104970,1,50,10.466667,CAT 100,ASAD170
K104980,1,48,33.433333,CAT 100,S50
K104990,1,41,18.7,CAT 100,S50
K105010,1,36,46.033333,CAT 100,ASAD170
K105020,1,31,17,CAT 100,S80
K105030,1,72,27.4,CAT 100,S50
K105040,0,41,46.133333,CAT 100,ASAD170
K105050,0,40,12.4,CAT 100,S80
K105060,1,52,11.133333,CAT 100,ASAD170
K105070,0,47,13.333333,CAT 100,S50
K105100,1,65,15.733333,CAT 100,S50
K105110,0,31,16.4,CAT 100,ASAD90
K105120,0,41,23.933333,CAT 100,S50
K105130,0,32,34.966667,CAT 100,S50
K105140,0,27,50.433333,CAT 100,S80
K105160,1,44,24.6,CAT 100,S50
K105170,1,32,49.066667,CAT 100,S80
K105180,1,35,41.933333,CAT 100,S80
K105190,1,33,19.466667,CAT 100,ASAD170
K105200,0,35,24,CAT 100,ASAD90
K105220,1,34,13.866667,CAT 100,ASAD170
K105240,0,33,19.866667,CAT 100,S80
K105260,1,30,11.666667,CAT 100,S80
K105270,0,54,47.566667,CAT 100,ASAD170
K105290,1,32,48.266667,CAT 100,S50
K105320,1,27,44.4,CAT 100,S80
K105330,0,42,37.133333,CAT 100,S50
K105340,1,49,25.066667,CAT 100,S80
K105350,0,32,15.166667,CAT 100,ASAD170
K105370,1,30,48.933333,CAT 100,ASAD90
K105380,1,54,17.633333,CAT 100,ASAD170
K105390,0,51,36.166667,CAT 100,ASAD170
K105410,0,36,32.6,CAT 100,S80
K105420,1,27,18.866667,CAT 100,ASAD170
K105450,0,35,26.933333,CAT 100,ASAD170
K105470,0,60,35.066667,CAT 100,S80
K105480,0,52,18,CAT 100,ASAD170
K105490,0,42,49,CAT 100,S80
K105510,0,38,57.066667,CAT 100,S80
K105520,0,64,38.7,CAT 100,ASAD170
K105530,1,51,49.433333,CAT 100,S80
K105540,1,26,25.166667,CAT 100,S50
K105550,0,34,10.1,CAT 100,S80
K105570,0,65,28.933333,CAT 100,S50
K105580,0,37,46.966667,CAT 100,S80
K105590,1,34,30.266667,CAT 100,ASAD170
K105600,0,29,57,CAT 100,S80
K105610,1,29,45.766667,CAT 100,S50
K105620,0,43,11.233333,CAT 100,S50
K105630,0,60,16.533333,CAT 100,S80
K105650,0,30,25.133333,CAT 100,S50
K105670,1,42,53.933333,CAT 100,ASAD170
K105690,1,36,24.533333,CAT 100,ASAD170
K105700,1,33,37.1,CAT 100,ASAD170
K105750,1,38,42.9,CAT 100,S80
K105760,0,38,27,CAT 100,S80
K105770,0,49,44.733333,CAT 100,S80
K105790,1,37,36.066667,CAT 100,S80
K105800,1,30,42.9,CAT 100,ASAD170
K105810,0,26,30.866667,CAT 100,ASAD170
K105820,1,27,39.166667,CAT 100,S80
K105830,0,30,11.666667,CAT 100,S50
K105850,0,33,24.333333,CAT 100,ASAD170
K105860,0,34,54.333333,CAT 100,ASAD170
K105870,1,30,9.733333,CAT 100,S80
K105880,0,30,45.333333,CAT 100,ASAD170
K105900,1,47,43.4,CAT 100,ASAD170
K105910,0,29,17.333333,CAT 100,S50
K105920,1,33,28.366667,CAT 100,S50
K105930,1,31,51.3,CAT 100,S50
K105940,0,27,27.966667,CAT 100,S80
K105950,1,29,35.9,CAT 100,ASAD170
K105960,1,32,15.066667,CAT 100,ASAD170
K105970,1,39,43.266667,CAT 100,S80
K105980,1,29,20.366667,CAT 100,S80
K105990,0,31,46.666667,CAT 100,S80
K106000,1,46,21.366667,CAT 100,ASAD170
K106010,0,30,16.366667,CAT 100,S50
K106020,0,29,15.166667,CAT 100,ASAD170
K106030,0,28,31.366667,CAT 100,ASAD170
K106040,0,36,25.9,CAT 100,ASAD170
K106070,0,43,36.366667,CAT 100,S50
K106080,1,40,37.166667,CAT 100,S80
K106110,1,28,47.666667,CAT 100,S50
K106120,1,33,15.933333,CAT 100,S50
K106130,0,36,52.9,CAT 100,S80
K106140,1,43,21.233333,CAT 100,S80
K106150,1,33,13.366667,CAT 100,ASAD170
K106160,0,28,40.1,CAT 100,ASAD170
K106170,1,27,22.866667,CAT 100,S80
K106180,1,44,13.766667,CAT 100,S80
K106190,1,68,26.8,CAT 100,S50
K106200,1,50,14.033333,CAT 100,S80
K106210,0,30,32.3,CAT 100,ASAD170
K106230,0,45,31.4,CAT 100,S50
K106240,0,43,56.1,CAT 100,S80
K106260,1,43,32.533333,CAT 100,S50
K106270,1,27,39.333333,CAT 100,ASAD170
K106290,1,38,23.9,CAT 100,S80
K106300,1,34,23.466667,CAT 100,S50
K106310,1,30,45.933333,CAT 100,ASAD90
K106320,1,48,17.9,CAT 100,S80
K106350,1,36,54.866667,CAT 100,ASAD170
K106360,1,31,51,CAT 100,S80
K106370,1,27,13.4,CAT 100,ASAD90
K106390,1,63,20.566667,CAT 100,S80
K106400,0,34,25.033333,CAT 100,ASAD170
K106410,0,27,51.9,CAT 100,ASAD170
K106420,0,28,45.166667,CAT 100,ASAD170
K106430,1,38,56.066667,CAT 100,ASAD170
K106440,0,40,12.1,CAT 100,S50
K106450,0,31,35.333333,CAT 100,S80
K106470,1,30,29.1,CAT 100,S80
K106480,1,60,20.266667,CAT 100,S80
K106490,1,28,51.866667,CAT 100,S50
K106510,1,32,42.366667,CAT 100,S80
K106520,0,30,15.633333,CAT 100,ASAD90
K106530,0,42,49.9,CAT 100,ASAD170
K106540,0,30,56.9,CAT 100,S50
K106550,1,31,52.366667,CAT 100,S80
K106560,1,36,41.233333,CAT 100,S50
K106570,0,43,11.233333,CAT 100,S50
K106610,1,33,29.533333,CAT 100,ASAD170
K106620,0,34,12.733333,CAT 100,ASAD170
K106630,0,38,29.166667,CAT 100,S50
K106640,1,42,24.266667,CAT 100,ASAD170
K106660,0,27,50.333333,CAT 100,S50
K106690,1,32,29.266667,CAT 100,ASAD170
K106720,1,64,21.633333,CAT 100,S50
K106730,0,38,16.8,CAT 100,ASAD170
K106750,1,26,53.533333,CAT 100,S80
K106770,1,45,33.1,CAT 100,S50
K106780,0,27,21.133333,CAT 100,ASAD170
K106800,1,38,57.566667,CAT 100,S80
K106810,0,46,11.166667,CAT 100,ASAD170
K106820,1,38,11.433333,CAT 100,ASAD90
K106830,0,27,58,CAT 100,ASAD170
K106840,0,35,53.1,CAT 100,ASAD90
K106850,1,30,31.733333,CAT 100,S50
K106880,1,35,34.733333,CAT 100,S80
K106890,1,40,16.133333,CAT 100,ASAD170
K106900,0,29,51.733333,CAT 100,S80
K106920,0,27,53.433333,CAT 100,S80
K106930,0,30,56.433333,CAT 100,S50
K106940,0,47,39.266667,CAT 100,S50
K106950,0,51,11.066667,CAT 100,ASAD170
K106960,0,39,57.666667,CAT 100,S50
K106970,1,35,22.7,CAT 100,S50
K106990,1,30,52.866667,CAT 100,S50
K107000,0,52,43.366667,CAT 100,S80
K107020,0,43,42.2,CAT 100,S50
K107050,0,45,30.4,CAT 100,S80
K107060,0,31,51.933333,CAT 100,S50
K107070,0,51,10.2,CAT 100,S50
K107090,1,37,25.366667,CAT 100,S80
K107120,1,30,38.833333,CAT 100,ASAD170
K107140,1,44,25.7,CAT 100,S80
K107160,1,48,10.933333,CAT 100,ASAD170
K107190,1,72,45,CAT 100,S50
K107200,1,36,9.733333,CAT 100,S50
K107210,0,31,20.033333,CAT 100,S80
K107220,1,31,28.766667,CAT 100,ASAD170
K107230,1,52,35.1,CAT 100,S50
K107240,1,31,31.7,CAT 100,ASAD170
K107250,1,68,51.633333,CAT 100,S80
K107260,0,41,46,CAT 100,S50
K107270,0,38,11.966667,CAT 100,S80
K107290,0,28,31,CAT 100,S80
K107300,0,43,52.633333,CAT 100,S50
K107330,0,38,43.7,CAT 100,ASAD170
K107360,0,52,45.233333,CAT 100,S80
K107370,1,33,32.533333,CAT 100,S50
K107380,1,68,56.633333,CAT 100,ASAD170
K107390,1,32,45.666667,CAT 100,ASAD170
K107400,0,35,26.433333,CAT 100,ASAD90
K107420,1,33,21.933333,CAT 100,ASAD170
K107430,0,32,52.966667,CAT 100,ASAD90
K107440,0,31,44.633333,CAT 100,S80
K107450,0,51,36.5,CAT 100,S50
K107470,0,28,28.8,CAT 100,S80
K107480,1,28,31.666667,CAT 100,ASAD170
K107490,1,36,18.866667,CAT 100,S80
K107500,1,56,28.2,CAT 100,S80
K107510,0,39,17.766667,CAT 100,S50
K107530,1,27,33.166667,CAT 100,S50
K107560,1,40,49.033333,CAT 100,S50
K107570,0,50,49.966667,CAT 100,ASAD170
K107580,1,43,10.533333,CAT 100,ASAD170
K107590,0,38,14.3,CAT 100,S80
K107620,1,29,12.166667,CAT 100,S80
K107630,1,36,15.533333,CAT 100,S80
K107640,1,52,41.333333,CAT 100,S80
K107660,1,52,11,CAT 100,S80
K107670,1,43,26.3,CAT 100,S80
K107680,0,28,50.5,CAT 100,S50
K107700,1,28,38.966667,CAT 100,ASAD170
K107720,1,30,31.533333,CAT 100,S80
K107730,1,42,23.6,CAT 100,S50
K107740,1,27,47.633333,CAT 100,ASAD170
K107770,0,27,54.833333,CAT 100,ASAD170
K107780,0,39,52.333333,CAT 100,S80
K107810,0,26,13.5,CAT 100,ASAD170
K107820,0,28,13.5,CAT 100,S50
K107830,0,31,34.766667,CAT 100,S50
K107840,0,45,41.366667,CAT 100,S80
K107850,0,46,20.4,CAT 100,S80
K107860,1,44,11.733333,CAT 100,ASAD170
K107870,1,28,28.4,CAT 100,S50
K107880,1,46,16,CAT 100,ASAD90
K107890,1,34,32.1,CAT 100,S80
K107910,0,46,42.966667,CAT 100,S80
K107920,0,47,30.566667,CAT 100,S50
K107930,1,33,25.166667,CAT 100,ASAD170
K107960,0,35,20.8,CAT 100,S50
K107970,0,28,35.9,CAT 100,S80
K107980,1,35,54.666667,CAT 100,S50
K107990,1,34,14.233333,CAT 100,ASAD170
K108000,1,59,41,CAT 100,S80
K108010,0,33,37.7,CAT 100,S50
K108020,0,29,56.3,CAT 100,S80
K108030,1,42,35.433333,CAT 100,ASAD170
K108040,1,42,56,CAT 100,ASAD170
K108050,1,46,39.766667,CAT 100,ASAD170
K108060,1,42,21.7,CAT 100,ASAD170
K108090,1,54,15.766667,CAT 100,S50
K108100,0,39,25.3,CAT 100,S50
K108110,0,28,55.4,CAT 100,ASAD170
K108120,1,56,32.033333,CAT 100,S80
K108130,0,34,9.966667,CAT 100,S50
K108140,0,30,26.366667,CAT 100,S50
K108150,1,64,39.666667,CAT 100,S50
K108160,0,46,55.833333,CAT 100,S50
K108170,1,37,46.6,CAT 100,ASAD170
K108180,0,30,57.5,CAT 100,ASAD170
K108190,1,43,28.466667,CAT 100,ASAD170
K108200,1,27,25.233333,CAT 100,S80
K108210,0,34,21.633333,CAT 100,ASAD170
K108240,0,26,43.8,CAT 100,ASAD170
K108250,0,40,37.333333,CAT 100,ASAD170
K108270,1,42,57.533333,CAT 100,S50
K108280,1,56,53.466667,CAT 100,S80
K108300,1,37,38.7,CAT 100,S80
K108310,1,61,30.533333,CAT 100,ASAD170
K108320,1,29,39.6,CAT 100,S80
K108330,0,60,21.266667,CAT 100,S80
K108340,1,27,43.733333,CAT 100,S50
K108350,1,26,15.866667,CAT 100,ASAD170
K108370,1,40,29.366667,CAT 100,ASAD170
K108380,1,30,46.366667,CAT 100,S50
K108390,0,52,17.9,CAT 100,S50
K108400,0,32,44.566667,CAT 100,ASAD170
K108410,1,27,14.933333,CAT 100,S50
K108420,1,39,38.166667,CAT 100,S80
K108430,1,33,34.633333,CAT 100,S50
K108440,0,29,32.266667,CAT 100,S50
K108450,0,60,18.433333,CAT 100,ASAD170
K108480,0,38,54.066667,CAT 100,S50
K108490,1,40,30.1,CAT 100,S50
K108500,0,39,24.233333,CAT 100,S80
K108520,0,42,50.266667,CAT 100,S80
K108560,1,43,39.866667,CAT 100,ASAD170
K108570,1,42,48.2,CAT 100,S80
K108580,0,38,34.866667,CAT 100,S80
K108590,0,30,31.566667,CAT 100,S80
K108600,1,39,20.6,CAT 100,S50
K108610,1,34,46.2,CAT 100,S50
K108620,1,33,55.5,CAT 100,ASAD170
K108650,0,53,41.566667,CAT 100,ASAD170
K108660,1,42,32.6,CAT 100,ASAD170
K108670,0,26,48.566667,CAT 100,ASAD170
K108690,1,45,44.033333,CAT 100,ASAD170
K108700,0,31,49.166667,CAT 100,S80
K108710,1,50,15.966667,CAT 100,S50
K108720,1,35,51.533333,CAT 100,S80
K108730,1,31,35.666667,CAT 100,S80
K108750,0,26,37.266667,CAT 100,S80
K108760,1,26,13.2,CAT 100,ASAD170
K108770,0,27,46.133333,CAT 100,ASAD170
K108780,0,27,46.233333,CAT 100,ASAD170
K108790,0,37,24,CAT 100,S80
K108810,1,47,36.666667,CAT 100,S80
K108820,0,26,41.266667,CAT 100,S50
K108840,1,35,37.466667,CAT 100,S50
K108850,0,27,15.5,CAT 100,ASAD170
K108860,1,34,47.166667,CAT 100,S50
K108870,0,30,22.933333,CAT 100,ASAD170
K108920,1,30,49.333333,CAT 100,S50
K108930,1,36,15.566667,CAT 100,S80
K108950,1,27,25.533333,CAT 100,S80
K108960,1,61,47.5,CAT 100,ASAD170
K108970,1,29,54.666667,CAT 100,S80
K108980,1,42,33.433333,CAT 100,ASAD90
K109000,0,40,35.8,CAT 100,ASAD170
K109010,1,46,50.633333,CAT 100,ASAD170
K109030,1,64,21.8,CAT 100,ASAD170
K109040,0,59,28,CAT 100,S80
K109060,0,54,35.566667,CAT 100,S80
K109090,1,45,34.666667,CAT 100,S50
K109100,0,30,16.933333,CAT 100,ASAD170
K109130,1,40,38.4,CAT 100,S50
K109140,1,32,31.3,CAT 100,ASAD170
K109160,0,29,44.8,CAT 100,S50
K109170,0,33,50.9,CAT 100,S80
K109180,1,49,56.333333,CAT 100,ASAD170
K109190,1,48,12.233333,CAT 100,S80
K109210,0,33,32.2,CAT 100,S50
K109230,1,30,13.466667,CAT 100,S50
K109240,1,26,50.333333,CAT 100,ASAD170
K109250,0,34,27.4,CAT 100,S80
K109260,1,36,35.166667,CAT 100,ASAD170
K109280,1,40,12.533333,CAT 100,S80
K109290,0,39,50.466667,CAT 100,S80
K109320,1,28,28.666667,CAT 100,S50
K109330,1,46,36.8,CAT 100,S50
K109340,1,29,38.366667,CAT 100,S80
K109360,0,44,30.733333,CAT 100,S80
K109390,1,26,35.466667,CAT 100,ASAD170
K109400,0,37,51.933333,CAT 100,S80
K109420,1,28,21.466667,CAT 100,ASAD170
K109440,1,34,24.333333,CAT 100,ASAD170
K109450,1,35,41.966667,CAT 100,S50
K109460,0,34,28.066667,CAT 100,S80
K109470,0,52,55.633333,CAT 100,ASAD170
K109480,0,28,40.333333,CAT 100,S50
K109490,1,35,19.266667,CAT 100,S50
K109500,0,26,12.833333,CAT 100,ASAD170
K109510,1,26,17,CAT 100,S80
K109520,0,30,52.066667,CAT 100,S80
K109530,0,51,36.866667,CAT 100,ASAD170
K109540,1,28,32.2,CAT 100,S50
K109590,1,38,38.433333,CAT 100,S50
K109610,1,32,11.233333,CAT 100,S80
K109630,0,44,57.7,CAT 100,S80
K109640,0,50,27.433333,CAT 100,ASAD170
K109650,1,40,42.8,CAT 100,ASAD170
K109660,0,52,42.433333,CAT 100,S50
K109670,0,31,55.733333,CAT 100,ASAD170
K109680,1,30,11.4,CAT 100,ASAD90
K109690,1,32,16.033333,CAT 100,S80
K109700,1,58,30,CAT 100,S50
K109710,0,31,13.6,CAT 100,S80
K109720,1,33,16.433333,CAT 100,ASAD170
K109730,1,36,22.233333,CAT 100,S50
K109740,1,34,43,CAT 100,S50
K109770,0,27,38.4,CAT 100,ASAD170
K109780,1,33,38.466667,CAT 100,S80
K109790,1,38,40.8,CAT 100,S80
K109800,0,34,24.466667,CAT 100,S50
K109810,0,29,51.766667,CAT 100,S80
K109820,1,31,10.666667,CAT 100,S50
K109830,1,49,29.466667,CAT 100,ASAD170
K109840,0,34,12.066667,CAT 100,S80
K109850,0,32,41.566667,CAT 100,S80
K109860,0,31,17.033333,CAT 100,S50
K109870,1,46,53.333333,CAT 100,ASAD170
K109880,0,62,21.3,CAT 100,ASAD170
K109890,0,31,20,CAT 100,ASAD170
K109900,0,36,21.366667,CAT 100,S50
K109910,0,47,47.2,CAT 100,S50
K109920,1,40,36.433333,CAT 100,S80
K109930,0,29,51.7,CAT 100,ASAD170
K109940,1,26,46.933333,CAT 100,S80
K109950,0,42,17.566667,CAT 100,S80
K109960,1,35,34.3,CAT 100,S50
K109970,0,31,31.266667,CAT 100,S80
K109980,1,36,14.533333,CAT 100,S50
K109990,1,28,42.766667,CAT 100,S80
K110020,0,26,53.033333,CAT 100,S50
K110030,1,26,17.1,CAT 100,S50
K110050,0,26,10.533333,CAT 100,S80
K110070,1,54,30.533333,CAT 100,S50
K110080,0,29,28,CAT 100,S80
K110090,1,29,31.1,CAT 100,S80
K110100,1,33,22.233333,CAT 100,S80
K110110,1,26,24.033333,CAT 100,S50
K110130,0,33,45.933333,CAT 100,S50
K110140,0,51,47,CAT 100,ASAD170
K110150,1,30,41.533333,CAT 100,ASAD170
K110160,0,33,37.3,CAT 100,S80
K110170,1,28,56.766667,CAT 100,ASAD170
K110190,1,44,39.366667,CAT 100,S50
K110200,0,30,56.666667,CAT 100,S50
K110210,1,50,23.1,CAT 100,ASAD170
K110220,1,40,29.233333,CAT 100,S50
K110230,0,43,18.133333,CAT 100,S80
K110240,1,47,15.766667,CAT 100,S50
K110250,0,48,19.566667,CAT 100,ASAD170
K110260,0,34,17.633333,CAT 100,S50
K110280,1,30,27.566667,CAT 100,S80
K110300,1,35,29.466667,CAT 100,S50
K110310,0,49,25.066667,CAT 100,S50
K110320,0,38,26.3,CAT 100,ASAD170
K110340,1,26,18.2,CAT 100,ASAD170
K110350,1,38,49.4,CAT 100,S80
K110360,0,45,9.9,CAT 100,S80
K110370,0,26,45.733333,CAT 100,S80
K110380,1,48,55.566667,CAT 100,S50
K110390,1,40,47.5,CAT 100,S80
K110410,0,28,36.4,CAT 100,S50
